0231-424X;15;ACTA PHYSIOLOGICA HUNGARICA
0001-6810;30;Acta Politica
0001-6837;15;ACTA POLONIAE PHARMACEUTICA
1000-3304;15;ACTA POLYMERICA SINICA
1785-8860;20;Acta Polytechnica Hungarica
0065-1583;15;ACTA PROTOZOOLOGICA
0001-690X;40;ACTA PSYCHIATRICA SCANDINAVICA
0001-6918;30;ACTA PSYCHOLOGICA
0284-1851;25;ACTA RADIOLOGICA
0303-464X;15;Acta Reumatologica Portuguesa
1678-0345;15;Acta Scientiae Veterinariae
1644-0692;20;Acta Scientiarum Polonorum-Hortorum Cultus
1807-8621;25;ACTA SCIENTIARUM-AGRONOMY
1806-2563;20;ACTA SCIENTIARUM-TECHNOLOGY
0001-6977;25;ACTA SOCIETATIS BOTANICORUM POLONIAE
0001-6993;30;ACTA SOCIOLOGICA
0001-7051;0;ACTA THERIOLOGICA
0001-706X;35;ACTA TROPICA
0001-7213;20;ACTA VETERINARIA BRNO
0236-6290;25;ACTA VETERINARIA HUNGARICA
0044-605X;35;ACTA VETERINARIA SCANDINAVICA
0567-8315;15;ACTA VETERINARIA-BEOGRAD
0001-723X;15;ACTA VIROLOGICA
0001-7272;25;ACTA ZOOLOGICA
1217-8837;15;ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE
0324-0770;15;ACTA ZOOLOGICA BULGARICA
1139-9287;15;ACTAS ESPANOLAS DE PSIQUIATRIA
0210-4806;15;Actas Urologicas Espanolas
0335-5322;15;ACTES DE LA RECHERCHE EN SCIENCES SOCIALES
1476-7503;25;Action Research
0360-1293;20;ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH
0964-5284;25;Acupuncture in Medicine
1551-9899;15;Ad Hoc & Sensor Wireless Networks
1570-8705;35;Ad Hoc Networks
1280-8571;15;ADANSONIA
0736-5829;30;ADAPTED PHYSICAL ACTIVITY QUARTERLY
1059-7123;25;ADAPTIVE BEHAVIOR
0965-2140;45;ADDICTION
1369-1600;0;ADDICTION BIOLOGY
1606-6359;25;ADDICTION RESEARCH & THEORY
0306-4603;35;ADDICTIVE BEHAVIORS
0214-4840;20;Adicciones
0095-3997;25;ADMINISTRATION & SOCIETY
0894-587X;40;Administration and Policy in Mental Health and Mental Health Services Research
0364-3107;25;ADMINISTRATION IN SOCIAL WORK
0001-8368;35;ADMINISTRATIVE LAW REVIEW
0001-8392;50;ADMINISTRATIVE SCIENCE QUARTERLY
0263-6174;20;ADSORPTION SCIENCE & TECHNOLOGY
0929-5607;30;ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY
0741-7136;25;ADULT EDUCATION QUARTERLY
0924-3046;20;ADVANCED COMPOSITE MATERIALS
0963-6935;15;ADVANCED COMPOSITES LETTERS
0169-409X;50;ADVANCED DRUG DELIVERY REVIEWS
1614-6832;45;Advanced Energy Materials
1474-0346;40;ADVANCED ENGINEERING INFORMATICS
1438-1656;30;ADVANCED ENGINEERING MATERIALS
1616-301X;45;ADVANCED FUNCTIONAL MATERIALS
2192-2640;40;Advanced Healthcare Materials
0935-9648;45;ADVANCED MATERIALS
0882-7958;15;ADVANCED MATERIALS & PROCESSES
1536-1365;30;ADVANCED NONLINEAR STUDIES
0921-8831;30;ADVANCED POWDER TECHNOLOGY
0169-1864;20;ADVANCED ROBOTICS
1816-112X;20;Advanced Steel Construction
1615-4150;45;ADVANCED SYNTHESIS & CATALYSIS
0065-2113;50;Advances in Agronomy
1072-4109;35;ADVANCES IN ANATOMIC PATHOLOGY
0301-5556;40;Advances in Anatomy Embryology and Cell Biology
1743-6753;30;Advances in Applied Ceramics
0188-7009;20;Advances in Applied Clifford Algebras
0196-8858;30;ADVANCES IN APPLIED MATHEMATICS
2070-0733;25;Advances in Applied Mathematics and Mechanics
0065-2156;50;Advances in Applied Mechanics
0065-2164;40;Advances in Applied Microbiology
0001-8678;25;ADVANCES IN APPLIED PROBABILITY
1687-7969;25;Advances in Astronomy
0256-1530;20;ADVANCES IN ATMOSPHERIC SCIENCES
1049-250X;40;Advances In Atomic Molecular and Optical Physics
0724-6145;30;Advances in Biochemical Engineering-Biotechnology
0065-2296;35;Advances in Botanical Research
1864-8258;35;Advances in Calculus of Variations
0065-230X;40;Advances in Cancer Research
0065-2318;45;Advances in Carbohydrate Chemistry and Biochemistry
0360-0564;40;Advances in Catalysis
0951-7197;25;ADVANCES IN CEMENT RESEARCH
0065-2385;40;Advances in Chemical Physics
0065-2407;25;Advances in Child Development and Behavior
1548-5595;30;ADVANCES IN CHRONIC KIDNEY DISEASE
1899-5276;15;Advances in Clinical and Experimental Medicine
0065-2423;45;Advances in Clinical Chemistry
0001-8686;45;ADVANCES IN COLLOID AND INTERFACE SCIENCE
0219-5259;25;ADVANCES IN COMPLEX SYSTEMS
1019-7168;35;ADVANCES IN COMPUTATIONAL MATHEMATICS
0065-2458;15;Advances in Computers
1687-8108;20;Advances in Condensed Matter Physics
1862-5347;35;Advances in Data Analysis and Classification
1687-1847;30;Advances in Difference Equations
1079-9389;35;Advances in Differential Equations
0065-2504;40;Advances in Ecological Research
1582-7445;15;Advances in Electrical and Computer Engineering
0965-9978;30;ADVANCES IN ENGINEERING SOFTWARE
0065-2598;25;Advances in Experimental Medicine and Biology
0065-2601;50;Advances in Experimental Social Psychology
0065-2660;40;Advances in Genetics
1615-715X;20;ADVANCES IN GEOMETRY
0065-2687;40;Advances in Geophysics
1382-4996;40;ADVANCES IN HEALTH SCIENCES EDUCATION
0065-2725;30;Advances in Heterocyclic Chemistry
1687-7357;30;Advances in High Energy Physics
1076-5670;20;Advances in Imaging and Electron Physics
0065-2776;40;Advances in Immunology
0898-8838;35;Advances in Inorganic Chemistry
0065-2806;50;Advances in Insect Physiology
1569-4909;40;Advances in Life Course Research
0065-2881;50;Advances in Marine Biology
1687-8434;20;Advances in Materials Science and Engineering
1687-9120;20;Advances in Mathematical Physics
0001-8708;45;ADVANCES IN MATHEMATICS
1930-5346;20;Advances in Mathematics of Communications
1687-8132;25;Advances in Mechanical Engineering
1896-1126;15;Advances in Medical Sciences
1687-9309;20;Advances in Meteorology
0065-2911;40;Advances in Microbial Physiology
0161-9268;25;ADVANCES IN NURSING SCIENCE
2161-8313;45;Advances in Nutrition
1943-8206;50;Advances in Optics and Photonics
0065-3055;50;Advances in Organometallic Chemistry
0065-308X;40;Advances in Parasitology
0065-3160;30;Advances in Physical Organic Chemistry
0001-8732;50;ADVANCES IN PHYSICS
1043-4046;25;ADVANCES IN PHYSIOLOGY EDUCATION
0065-3195;45;Advances in Polymer Science
0730-6679;30;ADVANCES IN POLYMER TECHNOLOGY
1876-1623;30;Advances in Protein Chemistry and Structural Biology
0065-3276;20;Advances in Quantum Chemistry
1527-7941;30;Advances in Skin & Wound Care
0273-1177;20;ADVANCES IN SPACE RESEARCH
0742-3322;15;Advances in Strategic Management-A Research Annual
1369-4332;20;ADVANCES IN STRUCTURAL ENGINEERING
0065-3454;45;Advances in the Study of Behavior
1095-0761;30;Advances in Theoretical and Mathematical Physics
0741-238X;25;ADVANCES IN THERAPY
0972-5768;15;Advances in Vibration Engineering
0065-3527;35;Advances in Virus Research
0309-1708;45;ADVANCES IN WATER RESOURCES
1875-9637;30;Aeolian Research
0001-9054;25;Aequationes Mathematicae
0393-5965;25;AEROBIOLOGIA
0001-9240;20;AERONAUTICAL JOURNAL
1680-8584;30;Aerosol and Air Quality Research
0278-6826;35;AEROSOL SCIENCE AND TECHNOLOGY
0740-722X;15;AEROSPACE AMERICA
1270-9638;40;AEROSPACE SCIENCE AND TECHNOLOGY
0364-216X;30;AESTHETIC PLASTIC SURGERY
1090-820X;30;Aesthetic Surgery Journal
1434-8411;20;AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS
0886-1099;25;AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK
0001-9704;15;AFINIDAD
0001-9720;35;AFRICA
0002-0397;35;Africa Spectrum
0001-9909;45;AFRICAN AFFAIRS
1569-2094;20;African and Asian Studies
1017-6772;15;AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT
1021-3589;20;AFRICAN ENTOMOLOGY
1680-6905;20;African Health Sciences
1681-5556;20;AFRICAN INVERTEBRATES
1608-5914;15;AFRICAN JOURNAL OF AQUATIC SCIENCE
0141-6707;15;AFRICAN JOURNAL OF ECOLOGY
2156-4574;20;AFRICAN JOURNAL OF HERPETOLOGY
0795-4778;15;African Journal of Library Archives and Information Science
1814-232X;25;AFRICAN JOURNAL OF MARINE SCIENCE
1994-8220;20;African Journal of Psychiatry
1022-0119;15;AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE
0189-6016;20;African Journal of Traditional Complementary and Alternative Medicines
2305-7963;15;African Natural History
0002-0184;25;AFRICAN STUDIES
0002-0206;30;African Studies Review
1562-7020;20;AFRICAN ZOOLOGY
0065-4124;25;Africana Linguistica
0161-9152;40;AGE
0002-0729;40;AGE AND AGEING
0144-686X;25;AGEING & SOCIETY
1568-1637;45;AGEING RESEARCH REVIEWS
1359-1789;40;AGGRESSION AND VIOLENT BEHAVIOR
0096-140X;35;AGGRESSIVE BEHAVIOR
1360-7863;25;AGING & MENTAL HEALTH
1474-9718;40;AGING CELL
1594-0667;20;AGING CLINICAL AND EXPERIMENTAL RESEARCH
1368-5538;25;Aging Male
1382-5585;25;Aging, Neuropsychology and Cognition
1945-4589;30;Aging-US
1663-7852;15;Agrarforschung Schweiz
0303-1853;20;Agrekon
0742-4477;25;Agribusiness
1459-6067;30;AGRICULTURAL AND FOOD SCIENCE
1461-9555;35;AGRICULTURAL AND FOREST ENTOMOLOGY
0168-1923;45;AGRICULTURAL AND FOREST METEOROLOGY
0169-5150;35;AGRICULTURAL ECONOMICS
0139-570X;15;Agricultural Economics-Zemedelska Ekonomika
0002-1482;20;AGRICULTURAL HISTORY
1671-2927;30;Agricultural Sciences in China
0308-521X;50;AGRICULTURAL SYSTEMS
0378-3774;40;AGRICULTURAL WATER MANAGEMENT
0889-048X;45;AGRICULTURE AND HUMAN VALUES
0167-8809;40;AGRICULTURE ECOSYSTEMS & ENVIRONMENT
1722-6996;15;AGRO FOOD INDUSTRY HI-TECH
0002-1857;15;AGROCHIMICA
1405-3195;20;AGROCIENCIA
0167-4366;30;AGROFORESTRY SYSTEMS
1774-0746;45;Agronomy for Sustainable Development
0002-1962;35;AGRONOMY JOURNAL
0921-7126;15;AI COMMUNICATIONS
0890-0604;25;AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING
0738-4602;20;AI MAGAZINE
0001-1452;40;AIAA JOURNAL
0001-1541;35;AICHE JOURNAL
0269-9370;40;AIDS
1090-7165;45;AIDS AND BEHAVIOR
0954-0121;30;AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV
0899-9546;35;AIDS EDUCATION AND PREVENTION
1087-2914;35;AIDS PATIENT CARE AND STDS
0889-2229;20;AIDS RESEARCH AND HUMAN RETROVIRUSES
1742-6405;20;AIDS Research and Therapy
1139-6121;35;AIDS REVIEWS
2158-3226;25;AIP Advances
1873-9318;25;Air Quality Atmosphere and Health
1748-8842;20;AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY
1608-5906;15;AJAR-African Journal of AIDS Research
1944-7515;45;AJIDD-American Journal on Intellectual and Developmental Disabilities
0341-051X;15;AKTUELLE RHEUMATOLOGIE
0001-7868;15;AKTUELLE UROLOGIE
0311-5518;20;ALCHERINGA
0741-8329;25;ALCOHOL
0735-0414;35;ALCOHOL AND ALCOHOLISM
1535-7414;35;Alcohol Research-Current Reviews
0145-6008;45;ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH
0002-5100;50;ALDRICHIMICA ACTA
1980-0436;20;ALEA-Latin American Journal of Probability and Mathematical Statistics
2211-9264;40;Algal Research-Biomass Biofuels and Bioproducts
1937-0652;35;Algebra & Number Theory
0002-5232;25;Algebra and Logic
1005-3867;15;ALGEBRA COLLOQUIUM
0002-5240;20;ALGEBRA UNIVERSALIS
1472-2739;25;Algebraic and Geometric Topology
1386-923X;25;ALGEBRAS AND REPRESENTATION THEORY
0178-4617;25;ALGORITHMICA
1748-7188;25;Algorithms for Molecular Biology
0269-2813;45;ALIMENTARY PHARMACOLOGY & THERAPEUTICS
0971-4693;20;ALLELOPATHY JOURNAL
0301-0546;20;ALLERGOLOGIA ET IMMUNOPATHOLOGIA
0344-5062;15;ALLERGOLOGIE
0105-4538;45;ALLERGY
1088-5412;25;ALLERGY AND ASTHMA PROCEEDINGS
2092-7355;30;Allergy Asthma & Immunology Research
0002-5852;15;ALLGEMEINE FORST UND JAGDZEITUNG
1664-2201;30;Alpine Botany
1078-6791;30;ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE
0304-3754;20;ALTERNATIVES
1868-596X;40;ALTEX-Alternatives to Animal Experimentation
0893-0341;35;ALZHEIMER DISEASE & ASSOCIATED DISORDERS
1552-5260;50;Alzheimers & Dementia
1758-9193;40;Alzheimers Research & Therapy
0084-5841;15;AMA-Agricultural Mechanization in Asia Africa and Latin America
0044-7447;35;AMBIO
0002-6980;25;Ambix
0002-7014;30;AMEGHINIANA
0002-726X;25;AMERICAN ANNALS OF THE DEAF
0002-7294;35;AMERICAN ANTHROPOLOGIST
0002-7316;35;AMERICAN ANTIQUITY
0027-9048;25;AMERICAN BANKRUPTCY LAW JOURNAL
0002-7626;15;AMERICAN BEE JOURNAL
0002-7642;30;AMERICAN BEHAVIORAL SCIENTIST
0002-7685;15;AMERICAN BIOLOGY TEACHER
0002-7766;30;AMERICAN BUSINESS LAW JOURNAL
0002-7812;25;AMERICAN CERAMIC SOCIETY BULLETIN
0164-0364;25;AMERICAN CRIMINAL LAW REVIEW
1945-7782;45;American Economic Journal-Applied Economics
1945-7731;45;American Economic Journal-Economic Policy
1945-7707;45;American Economic Journal-Macroeconomics
1945-7669;35;American Economic Journal-Microeconomics
0002-8282;45;AMERICAN ECONOMIC REVIEW
0002-8312;50;AMERICAN EDUCATIONAL RESEARCH JOURNAL
0094-0496;35;AMERICAN ETHNOLOGIST
0002-838X;40;AMERICAN FAMILY PHYSICIAN
0002-8444;15;AMERICAN FERN JOURNAL
0002-8703;35;AMERICAN HEART JOURNAL
0002-8762;50;AMERICAN HISTORICAL REVIEW
0893-5394;20;AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH
0002-9092;35;AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS
1533-3175;20;American Journal of Alzheimers Disease and Other Dementias
1059-0889;25;American Journal of Audiology
1526-5161;50;AMERICAN JOURNAL OF BIOETHICS
0002-9122;35;AMERICAN JOURNAL OF BOTANY
2156-6976;35;American Journal of Cancer Research
0002-9149;30;AMERICAN JOURNAL OF CARDIOLOGY
1175-3277;25;American Journal of Cardiovascular Drugs
0192-415X;35;AMERICAN JOURNAL OF CHINESE MEDICINE
1175-0561;35;AMERICAN JOURNAL OF CLINICAL DERMATOLOGY
0002-9157;15;AMERICAN JOURNAL OF CLINICAL HYPNOSIS
0002-9165;45;AMERICAN JOURNAL OF CLINICAL NUTRITION
0277-3732;20;AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS
0002-9173;35;AMERICAN JOURNAL OF CLINICAL PATHOLOGY
0091-0562;40;AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY
0002-919X;30;AMERICAN JOURNAL OF COMPARATIVE LAW
1062-3264;35;AMERICAN JOURNAL OF CRITICAL CARE
0894-8275;25;AMERICAN JOURNAL OF DENTISTRY
0193-1091;25;AMERICAN JOURNAL OF DERMATOPATHOLOGY
0095-2990;25;AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE
0002-9246;15;AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY
0195-6744;35;AMERICAN JOURNAL OF EDUCATION
0735-6757;30;AMERICAN JOURNAL OF EMERGENCY MEDICINE
0002-9254;30;AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE
0002-9262;45;AMERICAN JOURNAL OF EPIDEMIOLOGY
1098-2140;40;AMERICAN JOURNAL OF EVALUATION
0192-6187;15;AMERICAN JOURNAL OF FAMILY THERAPY
0195-7910;20;AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY
0002-9270;45;AMERICAN JOURNAL OF GASTROENTEROLOGY
1543-5946;30;American Journal of Geriatric Pharmacotherapy
1064-7481;40;AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY
1945-7359;25;AMERICAN JOURNAL OF HEALTH BEHAVIOR
0890-1171;30;AMERICAN JOURNAL OF HEALTH PROMOTION
1079-2082;25;AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY
0361-8609;35;AMERICAN JOURNAL OF HEMATOLOGY
1049-9091;20;American Journal of Hospice & Palliative Medicine
1042-0533;35;AMERICAN JOURNAL OF HUMAN BIOLOGY
0002-9297;45;AMERICAN JOURNAL OF HUMAN GENETICS
0895-7061;35;AMERICAN JOURNAL OF HYPERTENSION
0271-3586;30;AMERICAN JOURNAL OF INDUSTRIAL MEDICINE
0196-6553;30;AMERICAN JOURNAL OF INFECTION CONTROL
0002-9300;30;AMERICAN JOURNAL OF INTERNATIONAL LAW
0272-6386;45;AMERICAN JOURNAL OF KIDNEY DISEASES
1088-0224;35;AMERICAN JOURNAL OF MANAGED CARE
0002-9327;45;AMERICAN JOURNAL OF MATHEMATICS
1552-4825;20;AMERICAN JOURNAL OF MEDICAL GENETICS PART A
